file_name;size_bytes;extension;modified_unix_secs;directory;crate_name;src_root;is_text;lines;category;object;rust_role;rust_fn_count;rust_type_count;rust_impl_count;rust_pub_item_count;rust_use_external_count;rel_path
mod.rs;41;rs;2025-12-20 17:01:03;crates/backend/src/dashboards/d400_monthly_summary;backend;crates/backend/src;true;3;dashboards;d400_monthly_summary;mod_rs;0;0;0;2;0;crates/backend/src/dashboards/d400_monthly_summary/mod.rs
repository.rs;5406;rs;2025-12-20 17:01:03;crates/backend/src/dashboards/d400_monthly_summary;backend;crates/backend/src;true;162;dashboards;d400_monthly_summary;repository;4;4;0;12;3;crates/backend/src/dashboards/d400_monthly_summary/repository.rs
service.rs;5230;rs;2025-12-20 17:01:03;crates/backend/src/dashboards/d400_monthly_summary;backend;crates/backend/src;true;156;dashboards;d400_monthly_summary;service;3;0;0;1;2;crates/backend/src/dashboards/d400_monthly_summary/service.rs
mod.rs;33;rs;2025-12-20 17:01:03;crates/backend/src/dashboards;backend;crates/backend/src;true;2;dashboards;;mod_rs;0;0;0;1;0;crates/backend/src/dashboards/mod.rs
mod.rs;39;rs;2025-12-20 17:01:03;crates/backend/src/domain/a001_connection_1c;backend;crates/backend/src;true;2;domain;a001_connection_1c;mod_rs;0;0;0;2;0;crates/backend/src/domain/a001_connection_1c/mod.rs
repository.rs;8071;rs;2025-12-20 17:01:03;crates/backend/src/domain/a001_connection_1c;backend;crates/backend/src;true;243;domain;a001_connection_1c;repository;10;2;2;23;8;crates/backend/src/domain/a001_connection_1c/repository.rs
service.rs;6890;rs;2025-12-20 17:01:03;crates/backend/src/domain/a001_connection_1c;backend;crates/backend/src;true;204;domain;a001_connection_1c;service;9;0;0;9;3;crates/backend/src/domain/a001_connection_1c/service.rs
mod.rs;37;rs;2025-12-23 16:35:58;crates/backend/src/domain/a002_organization;backend;crates/backend/src;true;2;domain;a002_organization;mod_rs;0;0;0;2;0;crates/backend/src/domain/a002_organization/mod.rs
repository.rs;5262;rs;2025-12-20 17:01:03;crates/backend/src/domain/a002_organization;backend;crates/backend/src;true;155;domain;a002_organization;repository;9;2;2;21;8;crates/backend/src/domain/a002_organization/repository.rs
service.rs;3619;rs;2025-12-20 17:01:03;crates/backend/src/domain/a002_organization;backend;crates/backend/src;true;110;domain;a002_organization;service;6;0;0;6;2;crates/backend/src/domain/a002_organization/service.rs
mod.rs;37;rs;2025-12-23 16:35:58;crates/backend/src/domain/a003_counterparty;backend;crates/backend/src;true;2;domain;a003_counterparty;mod_rs;0;0;0;2;0;crates/backend/src/domain/a003_counterparty/mod.rs
repository.rs;5025;rs;2025-12-20 17:01:03;crates/backend/src/domain/a003_counterparty;backend;crates/backend/src;true;143;domain;a003_counterparty;repository;7;2;2;20;8;crates/backend/src/domain/a003_counterparty/repository.rs
service.rs;1639;rs;2025-12-20 17:01:03;crates/backend/src/domain/a003_counterparty;backend;crates/backend/src;true;59;domain;a003_counterparty;service;5;0;0;5;2;crates/backend/src/domain/a003_counterparty/service.rs
excel_import.rs;6063;rs;2025-12-29 09:57:11;crates/backend/src/domain/a004_nomenclature;backend;crates/backend/src;true;170;domain;a004_nomenclature;module;4;3;0;15;3;crates/backend/src/domain/a004_nomenclature/excel_import.rs
mod.rs;59;rs;2025-12-23 16:35:58;crates/backend/src/domain/a004_nomenclature;backend;crates/backend/src;true;3;domain;a004_nomenclature;mod_rs;0;0;0;3;0;crates/backend/src/domain/a004_nomenclature/mod.rs
repository.rs;15995;rs;2025-12-29 09:52:28;crates/backend/src/domain/a004_nomenclature;backend;crates/backend/src;true;429;domain;a004_nomenclature;repository;16;3;2;44;13;crates/backend/src/domain/a004_nomenclature/repository.rs
service.rs;1934;rs;2025-12-29 08:07:00;crates/backend/src/domain/a004_nomenclature;backend;crates/backend/src;true;70;domain;a004_nomenclature;service;6;0;0;6;2;crates/backend/src/domain/a004_nomenclature/service.rs
mod.rs;39;rs;2025-12-20 17:01:03;crates/backend/src/domain/a005_marketplace;backend;crates/backend/src;true;2;domain;a005_marketplace;mod_rs;0;0;0;2;0;crates/backend/src/domain/a005_marketplace/mod.rs
repository.rs;5284;rs;2025-12-20 17:01:03;crates/backend/src/domain/a005_marketplace;backend;crates/backend/src;true;153;domain;a005_marketplace;repository;8;2;2;20;9;crates/backend/src/domain/a005_marketplace/repository.rs
