ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,TRANSFERRED_TO_DELIVERY_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,TRANSFERRED_TO_DELIVERY_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,TRANSFERRED_TO_DELIVERY_DISCOUNT_SUM,TRANSFERRED_TO_DELIVERY_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER
56303453184,56303453184,Продажа физлицу,"Тумба подвесная SanStar Ориана 70 с раковиной Фостер 70 (комплект) для ванной комнаты, Грей",542.1-1.4.1.КФОС,542.1-1.4.1.КФОС,2,21.04.2026,02.05.2026,04.05.2026,Предоплата,22%,28387,10866,0,0,17521,56774,21732,35042,,,,,,,,,,,,
56344371842,56344371842,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Фест 80 (комплект) для ванной комнаты, Gold Craft",527.1-1.4.1.РКФЕС,527.1-1.4.1.РКФЕС,1,22.04.2026,02.05.2026,11.05.2026,Предоплата,22%,30119,12977,0,0,17142,30119,12977,17142,,,,,,,,,,,,
56344371842,56344371842,Продажа физлицу,"Шкаф-пенал напольно/подвесной SanStar Diva 50 для ванной комнаты, Gold Craft",539.1-3.4.1.,539.1-3.4.1.,1,22.04.2026,02.05.2026,11.05.2026,Предоплата,22%,26584,10356,0,0,16228,26584,10356,16228,,,,,,,,,,,,
56344371842,56344371842,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 80 для ванной комнаты Дуб вотан,446.1-2.4.1.ДИВ,446.1-2.4.1.ДИВ,1,22.04.2026,02.05.2026,11.05.2026,Предоплата,22%,10364,5242,0,0,5122,10364,5242,5122,,,,,,,,,,,,
56350198976,56350198976,Продажа физлицу,"Тумба подвесная SanStar Riana 100 с раковиной Фостер 100 (комплект) для ванной комнаты, грей",505.1-1.4.1.СКФОС,505.1-1.4.1.СКФОС,1,22.04.2026,03.05.2026,,Предоплата,22%,40255,17259,0,0,22996,40255,17259,22996,,,,,,,,,,,,
56350198976,56350198976,Продажа физлицу,"Шкаф-пенал подвесной SanStar Riana для ванной комнаты, грей",506.1-3.4.1.,506.1-3.4.1.,1,22.04.2026,03.05.2026,,Предоплата,22%,26379,9827,0,0,16552,26379,9827,16552,,,,,,,,,,,,
56350630401,56350630401,Продажа физлицу,"Тумба напольная SanStar Diva 50 с раковиной Фест 50 (комплект) для ванной комнаты белый, Дуб вотан",487.1-1.4.1.СКФЕС,487.1-1.4.1.СКФЕС,1,22.04.2026,03.05.2026,05.05.2026,Яндекс.Сплит (предоплата),22%,22559,11059,0,0,11500,22559,11059,11500,,,,,,,,,,,,
56350630401,56350630401,Продажа физлицу,"Шкаф напольно-подвесной SanStar Diva для ванной комнаты белый, дуб вотан",500.1-3.4.1.Р,500.1-3.4.1.Р,1,22.04.2026,03.05.2026,05.05.2026,Яндекс.Сплит (предоплата),22%,19638,7934,0,0,11704,19638,7934,11704,,,,,,,,,,,,
56426604610,56426604610,Продажа физлицу,"Тумба напольная SanStar Толедо 40 с раковиной Даллас 100 правый для ванной комнаты, Gold Craft",515.1-1.4.1.РКПДАЛ,515.1-1.4.1.РКПДАЛ,1,25.04.2026,03.05.2026,05.05.2026,Предоплата,22%,36154,13467,0,0,22687,36154,13467,22687,,,,,,,,,,,,
56426604610,56426604610,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 70 для ванной комнаты Дуб вотан,445.1-2.4.1.,445.1-2.4.1.,1,25.04.2026,03.05.2026,05.05.2026,Предоплата,22%,9886,4498,0,0,5388,9886,4498,5388,,,,,,,,,,,,
