ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,TRANSFERRED_TO_DELIVERY_COUNT,DELIVERED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,DELIVERED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,DELIVERED_DISCOUNT_SUM,DELIVERED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER
56131453376,56131453376,Продажа физлицу,"Тумба подвесная без раковины Vannika Fetto 70 для ванной комнаты, графит софт",423.ТП.V.Fetto,423.ТП.V.Fetto,1,1,15.04.2026,17.04.2026,01.05.2026,Предоплата,22%,19361,10509,0,0,8852,19361,10509,8852,,,,,,,,,,,,
56186761091,56186761091,Продажа физлицу,"Шкаф-пенал напольно-подвесной Vannika Flavia 50 для ванной комнаты, белый",384.ШП.V.Flavia,384.ШП.V.Flavia,1,1,17.04.2026,28.04.2026,02.05.2026,Предоплата,22%,22116,9294,0,0,12822,22116,9294,12822,,,,,,,,,,,,
56203013952,56203013952,Продажа физлицу,"Тумба подвесная Vannika Glad 60 с раковиной Como 60 для ванной комнаты, cappuccino",519.ТП.V.Glad.ККОМ,519.ТП.V.Glad.ККОМ,1,1,18.04.2026,29.04.2026,06.05.2026,Яндекс.Сплит (предоплата),22%,24102,12068,0,0,12034,24102,12068,12034,,,,,,,,,,,,
56321968769,56321968769,Продажа физлицу,"Шкаф-зеркало Vannika Canto 60 для ванной комнаты, дуб вотан, шкаф витрина",444.ЗШ.V.Canto.ДИВ,444.ЗШ.V.Canto.ДИВ,1,1,22.04.2026,23.04.2026,01.05.2026,При получении,22%,7067,3686,0,0,3381,7067,3686,3381,,,,,,,,,,,,
56341053120,56341053120,Продажа физлицу,"Шкаф-зеркало Vannika Canto 60 для ванной комнаты, дуб вотан, шкаф витрина",444.ЗШ.V.Canto.ДИВ,444.ЗШ.V.Canto.ДИВ,1,1,22.04.2026,23.04.2026,03.05.2026,Яндекс.Сплит (предоплата),22%,7040,3246,0,0,3794,7040,3246,3794,,,,,,,,,,,,
56344739520,56344739520,Продажа физлицу,"Шкаф-пенал напольно/подвесной Vannika Bliss для ванной комнаты, дуб вотан, графит софт",476.ШП.V.Bliss.МОД,476.ШП.V.Bliss.МОД,1,1,22.04.2026,27.04.2026,02.05.2026,Предоплата,22%,19335,9260,0,0,10075,19335,9260,10075,,,,,,,,,,,,
56345637184,56345637184,Продажа физлицу,"Тумба подвесная Vannika Rinni 70 с раковиной Фостер 70 для ванной комнаты, дуб веллингтон табак",434.ТП.V.Rinni.КФОС,434.ТП.V.Rinni.КФОС,1,1,22.04.2026,29.04.2026,01.05.2026,Яндекс.Сплит (предоплата),22%,35877,14412,0,0,21465,35877,14412,21465,,,,,,,,,,,,
56357194883,56357194883,Продажа физлицу,"Тумба напольная без раковины Vannika Bliss 60 для ванной комнаты, белая, дуб вотан",484.ТН.V.Bliss.Р,484.ТН.V.Bliss.Р,1,1,23.04.2026,27.04.2026,04.05.2026,Предоплата,22%,13244,5475,0,0,7769,13244,5475,7769,,,,,,,,,,,,
56363105921,56363105921,Продажа физлицу,"Тумба напольная Vannika Bliss 50 с раковиной Фостер 50 для ванной комнаты, белая, дуб вотан",483.ТН.V.Bliss.РКФОС,483.ТН.V.Bliss.РКФОС,1,1,23.04.2026,30.04.2026,02.05.2026,Предоплата,22%,23391,10169,0,0,13222,23391,10169,13222,,,,,,,,,,,,
56384438914,56384438914,Продажа физлицу,"Шкаф-зеркало ""Vannika"" Canto, модульный, ЛДСП, 50 см x 72,9 см x 14,8 см",443.ЗШ.V.Canto.ДИВ,443.ЗШ.V.Canto.ДИВ,1,1,24.04.2026,30.04.2026,02.05.2026,Предоплата,22%,6614,3066,0,0,3548,6614,3066,3548,,,,,,,,,,,,
56388736705,56388736705,Продажа физлицу,"Тумба подвесная Vannika Glad 80 с раковиной Фест 80 для ванной комнаты, cappuccino",521.ТП.V.Glad.КФЕС,521.ТП.V.Glad.КФЕС,1,1,24.04.2026,29.04.2026,01.05.2026,Предоплата,22%,30037,12986,0,0,17051,30037,12986,17051,,,,,,,,,,,,
56391440897,56391440897,Продажа физлицу,"Тумба подвесная Vannika Rinni 80 с раковиной Фостер 80 для ванной комнаты, дуб веллингтон табак",435.ТП.V.Rinni.КФОС,435.ТП.V.Rinni.КФОС,1,1,24.04.2026,25.04.2026,03.05.2026,Предоплата,22%,32581,15762,0,0,16819,32581,15762,16819,,,,,,,,,,,,
56406939776,56406939776,Продажа физлицу,"Шкаф-зеркало Vannika Kanna 50 для ванной комнаты, дуб вотан",443.ЗШ.V.Kanna.ЛАВ,443.ЗШ.V.Kanna.ЛАВ,1,1,24.04.2026,26.04.2026,02.05.2026,Предоплата,22%,6733,3046,0,0,3687,6733,3046,3687,,,,,,,,,,,,
56416144385,56416144385,Продажа физлицу,"Тумба подвесная Vannika Kanna 80 с раковиной Como 80 для ванной комнаты, дуб вотан, графит софт",453.ТП.V.Kanna.ККОМ,453.ТП.V.Kanna.ККОМ,1,1,25.04.2026,30.04.2026,01.05.2026,Предоплата,22%,35238,15087,0,0,20151,35238,15087,20151,,,,,,,,,,,,
56416144385,56416144385,Продажа физлицу,"Шкаф для стиральной машины напольный Vannika Kanna для ванной комнаты, дуб вотан, графит софт",455.ШДС.V.Kanna,455.ШДС.V.Kanna,1,1,25.04.2026,30.04.2026,01.05.2026,Предоплата,22%,22938,9065,0,0,13873,22938,9065,13873,,,,,,,,,,,,
56425420801,56425420801,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,225.ТН.V.Bliss.ККОМ,1,1,25.04.2026,28.04.2026,01.05.2026,Предоплата,22%,26764,12016,0,0,14748,26764,12016,14748,,,,,,,,,,,,
56428083650,56428083650,Продажа физлицу,"Тумба напольная Vannika Flavia 70 с раковиной Фостер 70 для ванной комнаты, белая",169.ТН.V.Flavia.КФОС,169.ТН.V.Flavia.КФОС,1,1,25.04.2026,29.04.2026,01.05.2026,Предоплата,22%,37811,15111,0,0,22700,37811,15111,22700,,,,,,,,,,,,
