ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,TRANSFERRED_TO_DELIVERY_COUNT,UNREDEEMED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,UNREDEEMED_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,UNREDEEMED_DISCOUNT_SUM,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
55572807875,55572807875,Продажа физлицу,"Шкаф-зеркало Vannika Vastra 60 для ванной комнаты, дуб вотан",444.ЗШ.V.Vastra,444.ЗШ.V.Vastra,1,1,30.03.2026,31.03.2026,,05.05.2026,При получении,22%,9348,4038,0,0,5310,9348,4038,5310,,,,,,,,,,,,,,,,,,
56192669955,56192669955,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,225.ТН.V.Bliss.ККОМ,1,1,18.04.2026,28.04.2026,,12.05.2026,Предоплата,22%,26761,11613,0,0,15148,26761,11613,15148,,,,,,,,,,,,,,,,,,
56351825984,56351825984,Продажа физлицу,"Тумба подвесная Vannika Glad 100 с раковиной Фостер 100 для ванной комнаты, cappuccino",522.ТП.V.Glad.КФОС,522.ТП.V.Glad.КФОС,1,1,22.04.2026,26.04.2026,,05.05.2026,Яндекс.Сплит (предоплата),22%,36118,17172,0,0,18946,36118,17172,18946,,,,,,,,,,,,,,,,,,
56354938817,56354938817,Продажа физлицу,"Шкаф-зеркало с подсветкой Vannika Flavia 60 для ванной комнаты, белый",174.ЗШ.V.Flavia,174.ЗШ.V.Flavia,1,1,23.04.2026,24.04.2026,,05.05.2026,При получении,22%,10668,5168,0,0,5500,10668,5168,5500,,,,,,,,,,,,,,,,,,
56472334208,56472334208,Продажа физлицу,"Шкаф-зеркало Vannika Kanna 50 для ванной комнаты, дуб вотан",443.ЗШ.V.Kanna.ЛАВ,443.ЗШ.V.Kanna.ЛАВ,1,1,26.04.2026,28.04.2026,,12.05.2026,Предоплата,22%,6707,3096,0,0,3611,6707,3096,3611,,,,,,,,,,,,,,,,,,
56503459331,56503459331,Продажа физлицу,"Шкаф-зеркало Vannika Bliss 50 для ванной комнаты, дуб вотан",443.ЗШ.V.Bliss.МОД,443.ЗШ.V.Bliss.МОД,1,1,28.04.2026,29.04.2026,,26.05.2026,При получении,22%,6713,3023,0,0,3690,6713,3023,3690,,,,,,,,,,,,,,,,,,
56551841859,56551841859,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,225.ТН.V.Bliss.ККОМ,1,1,29.04.2026,30.04.2026,,18.05.2026,Предоплата,22%,31292,14954,0,0,16338,31292,14954,16338,,,,,,,,,,,,,,,,,,
56553462912,56553462912,Продажа физлицу,"Тумба напольная Vannika Bliss 70 с раковиной Como 70 для ванной комнаты, белая",224.ТН.V.Bliss.ККОМ,224.ТН.V.Bliss.ККОМ,1,1,29.04.2026,30.04.2026,,12.05.2026,Яндекс.Сплит (предоплата),22%,27237,13311,0,64,13862,27237,13375,13862,,,,,,,,,,,,,,,,,,
56561718528,56561718528,Продажа физлицу,"Тумба подвесная Vannika Glad 60 с раковиной Como 60 для ванной комнаты, cappuccino",519.ТП.V.Glad.ККОМ,519.ТП.V.Glad.ККОМ,1,1,29.04.2026,01.05.2026,,05.05.2026,Предоплата,22%,24095,11646,0,0,12449,24095,11646,12449,,,,,,,,,,,,,,,,,,
56572368000,56572368000,Продажа физлицу,"Тумба напольная Vannika Bliss 60 с раковиной Фостер 60 для ванной комнаты, белая",223.ТН.V.Bliss.КФОС,223.ТН.V.Bliss.КФОС,1,1,29.04.2026,01.05.2026,,18.05.2026,Предоплата,22%,22721,11175,0,0,11546,22721,11175,11546,,,,,,,,,,,,,,,,,,
