ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,TRANSFERRED_TO_DELIVERY_COUNT,DELIVERED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,DELIVERED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,DELIVERED_DISCOUNT_SUM,DELIVERED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER
54693937792,54693937792,Продажа физлицу,"Тумба напольная SanStar Darko 40 с раковиной Даллас 100 левый (комплект) для ванной комнаты Дуб вотан, графит софт",429.1-1.4.1.КЛДАЛ,1,1,02.03.2026,04.03.2026,01.04.2026,Предоплата,22%,30677,11282,0,558,18837,30677,11840,18837,,,,,,,,,,,,
55166865218,55166865218,Продажа физлицу,"Тумба подвесная SanStar Arista 85 Без раковины для ванной комнаты, белая",231.1-1.5.1.,1,1,17.03.2026,19.03.2026,03.04.2026,При получении,22%,26107,12322,0,0,13785,26107,12322,13785,,,,,,,,,,,,
55292376192,55292376192,Продажа физлицу,"Тумба напольная SanStar Каскад 40 с раковиной Азов 40 для ванной комнаты, белая",513.1-1.4.1.РКАЗО,1,1,21.03.2026,24.03.2026,04.04.2026,Яндекс.Сплит (предоплата),22%,11805,5667,0,83,6055,11805,5750,6055,,,,,,,,,,,,
55303680643,55303680643,Продажа физлицу,"Тумба подвесная SanStar Велья 60 с раковиной Фостер 60 (комплект) для ванной комнаты, белая",61.2-1.4.1.К,1,1,22.03.2026,23.03.2026,02.04.2026,Яндекс.Сплит (предоплата),22%,21570,8946,0,0,12624,21570,8946,12624,,,,,,,,,,,,
55304146880,55304146880,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Фостер 80 (комплект) для ванной комнаты, белая",225.1-1.4.1.КФОС,1,1,22.03.2026,23.03.2026,01.04.2026,Предоплата,22%,28891,13350,0,1413,14128,28891,14763,14128,,,,,,,,,,,,
55318689283,55318689283,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 60 для ванной комнаты Дуб вотан,444.1-2.4.1.,1,1,22.03.2026,26.03.2026,03.04.2026,Яндекс.Сплит (предоплата),22%,9232,3117,0,0,6115,9232,3117,6115,,,,,,,,,,,,
55320737475,55320737475,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Адель 70 для ванной комнаты, белый",175.1-2.4.1.,1,1,22.03.2026,24.03.2026,02.04.2026,Яндекс.Сплит (предоплата),22%,11520,5296,0,0,6224,11520,5296,6224,,,,,,,,,,,,
55340876291,55340876291,Продажа физлицу,"Тумба подвесная SanStar Линни 60 с раковиной Клермонт 60 (комплект) для ванной комнаты, белая",402.1-1.4.1.ККЛЕ,1,1,23.03.2026,26.03.2026,02.04.2026,Предоплата,22%,18652,10778,0,0,7874,18652,10778,7874,,,,,,,,,,,,
55346022784,55346022784,Продажа физлицу,"Тумба напольная SanStar Darko 50 Без раковины для ванной комнаты Дуб вотан, графит софт",430.1-1.4.1.,1,1,23.03.2026,24.03.2026,01.04.2026,Предоплата,22%,20007,6944,0,0,13063,20007,6944,13063,,,,,,,,,,,,
55349679939,55349679939,Продажа физлицу,"Тумба напольная SanStar Толедо 60 Без раковины для ванной комнаты, белая",366.1-1.4.1.,1,1,23.03.2026,24.03.2026,01.04.2026,Предоплата,22%,20814,7006,0,0,13808,20814,7006,13808,,,,,,,,,,,,
55353724865,55353724865,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 70 для ванной комнаты Дуб вотан,445.1-2.4.1.ДИВ,1,1,23.03.2026,25.03.2026,02.04.2026,Предоплата,22%,10332,5048,0,0,5284,10332,5048,5284,,,,,,,,,,,,
55354847938,55354847938,Продажа физлицу,"Тумба подвесная SanStar Diva 80 с раковиной Фест 80 (комплект) для ванной комнаты, Gold Craft",536.1-1.4.1.КФЕС,1,1,23.03.2026,29.03.2026,02.04.2026,Предоплата,22%,31441,14596,0,0,16845,31441,14596,16845,,,,,,,,,,,,
55354847938,55354847938,Продажа физлицу,"Шкаф-пенал напольно/подвесной SanStar Diva 50 для ванной комнаты, Gold Craft",539.1-3.4.1.,1,1,23.03.2026,29.03.2026,02.04.2026,Предоплата,22%,27899,12620,0,0,15279,27899,12620,15279,,,,,,,,,,,,
55355278593,55355278593,Продажа физлицу,"Тумба напольная SanStar Модена 70 с раковиной Como 70 (комплект) для ванной комнаты, белая, дуб вотан",485.1-1.4.1.РККОМ,1,1,23.03.2026,25.03.2026,02.04.2026,Предоплата,22%,28433,13624,0,0,14809,28433,13624,14809,,,,,,,,,,,,
55355278593,55355278593,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 70 для ванной комнаты, Дуб вотан",445.1-2.4.1.МОД,1,1,23.03.2026,25.03.2026,02.04.2026,Предоплата,22%,10334,5490,0,0,4844,10334,5490,4844,,,,,,,,,,,,
55363891776,55363891776,Продажа физлицу,"Тумба подвесная SanStar Riana 100 с раковиной Фостер 100 (комплект) для ванной комнаты, грей",505.1-1.4.1.КФОС,1,1,24.03.2026,30.03.2026,02.04.2026,Предоплата,22%,43145,19778,0,0,23367,43145,19778,23367,,,,,,,,,,,,
55367675520,55367675520,Продажа физлицу,"Зеркало универсальное SanStar Varna 70 для ванной комнаты, сенсорное",319.1-2.4.1.,1,1,24.03.2026,30.03.2026,01.04.2026,Предоплата,22%,13073,5098,0,0,7975,13073,5098,7975,,,,,,,,,,,,
55367675520,55367675520,Продажа физлицу,"Шкаф-пенал подвесной SanStar Инфинити для ванной комнаты, разобранный",398.1-3.4.1.,1,1,24.03.2026,30.03.2026,01.04.2026,Предоплата,22%,14058,7196,0,0,6862,14058,7196,6862,,,,,,,,,,,,
