ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
54982385666,54982385666,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Ориана 80 для ванной комнаты, белый",280.1-2.4.1.,0,1,11.03.2026,13.03.2026,19.03.2026,07.04.2026,Предоплата,22%,12765,5596,0,0,7169,12765,5596,7169,,,,,,,,,,,,,,,,,,
55002053696,55002053696,Продажа физлицу,"Тумба подвесная SanStar Ориана 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",286.1-1.4.1.ККОМ,0,1,12.03.2026,13.03.2026,15.03.2026,13.04.2026,Предоплата,22%,25611,9969,0,0,15642,25611,9969,15642,,,,,,,,,,,,,,,,,,
55074011137,55074011137,Продажа физлицу,"Тумба подвесная SanStar Diva 80 с раковиной Фест 80 (комплект) для ванной комнаты белый, дуб вотан",495.1-1.4.1.РКФЕС,0,1,14.03.2026,15.03.2026,17.03.2026,07.04.2026,Предоплата,22%,32913,12505,0,0,20408,32913,12505,20408,,,,,,,,,,,,,,,,,,
55077600194,55077600194,Продажа физлицу,Зеркальный шкаф подвесной SanStar Graffa 60 для ванной комнаты Дуб вотан,444.1-2.4.1.ЛАВ,0,1,14.03.2026,16.03.2026,17.03.2026,30.04.2026,Предоплата,22%,9190,3309,0,0,5881,9190,3309,5881,,,,,,,,,,,,,,,,,,
55147837954,55147837954,Продажа физлицу,"Тумба напольная SanStar Diva 100 с раковиной Фостер 100 (комплект) для ванной комнаты белая, дуб вотан",491.1-1.4.1.РКФОС,0,1,17.03.2026,18.03.2026,21.03.2026,07.04.2026,Предоплата,22%,42409,21000,0,0,21409,42409,21000,21409,,,,,,,,,,,,,,,,,,
55147837954,55147837954,Продажа физлицу,"Шкаф напольно-подвесной SanStar Diva 50 с полками для ванной комнаты белый, дуб вотан",498.1-3.4.1.,0,1,17.03.2026,18.03.2026,21.03.2026,07.04.2026,Предоплата,22%,23484,12316,0,0,11168,23484,12316,11168,,,,,,,,,,,,,,,,,,
55171330944,55171330944,Продажа физлицу,"Тумба подвесная SanStar Толедо 60 с раковиной Даллас 120 левый (комплект) для ванной комнаты, белая",367.1-1.4.1.КЛДАЛ,0,1,17.03.2026,20.03.2026,22.03.2026,07.04.2026,Яндекс.Сплит (предоплата),22%,39591,15837,0,0,23754,39591,15837,23754,,,,,,,,,,,,,,,,,,
55175560514,55175560514,Продажа физлицу,"Тумба подвесная SanStar Siva 70 с раковиной Como 70 (комплект) для ванной комнаты, Дуб веллингтон табак",434.1-1.4.1.ККОМ,0,1,18.03.2026,19.03.2026,21.03.2026,16.04.2026,Предоплата,22%,31725,10186,0,356,21183,31725,10542,21183,,,,,,,,,,,,,,,,,,
55187346371,55187346371,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 80 для ванной комнаты Дуб вотан,446.1-2.4.1.,0,1,18.03.2026,19.03.2026,27.03.2026,13.04.2026,Яндекс.Сплит (предоплата),22%,10762,3952,0,0,6810,10762,3952,6810,,,,,,,,,,,,,,,,,,
55191902465,55191902465,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 60 для ванной комнаты Дуб вотан,444.1-2.4.1.,0,1,18.03.2026,19.03.2026,23.03.2026,07.04.2026,Предоплата,22%,9200,5338,0,759,3103,9200,6097,3103,,,,,,,,,,,,,,,,,,
