ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,TRANSFERRED_TO_DELIVERY_COUNT,UNREDEEMED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,UNREDEEMED_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,UNREDEEMED_DISCOUNT_SUM,UNREDEEMED_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
54904621505,54904621505,Продажа физлицу,"Тумба подвесная SanStar Diva 70 без раковины для ванной комнаты белый, дуб вотан",494.1-1.4.1.Р,1,1,09.03.2026,10.03.2026,,01.04.2026,При получении,22%,13277,4146,0,0,9131,13277,4146,9131,,,,,,,,,,,,,,,,,,
55043901699,55043901699,Продажа физлицу,"Тумба подвесная SanStar Lanciano 100 с раковиной Гармония 100 (комплект) для ванной комнаты, белая",314.1-1.5.1.К,1,1,13.03.2026,16.03.2026,,13.04.2026,Яндекс.Сплит (предоплата),22%,51610,15256,0,0,36354,51610,15256,36354,,,,,,,,,,,,,,,,,,
55100758147,55100758147,Продажа физлицу,"Тумба подвесная SanStar Велья 60 с раковиной Фест 60 (комплект) для ванной комнаты, белая",61.2-1.4.1.КФЕС,1,1,15.03.2026,16.03.2026,,13.04.2026,Предоплата,22%,21460,7727,0,0,13733,21460,7727,13733,,,,,,,,,,,,,,,,,,
55117652033,55117652033,Продажа физлицу,"Тумба подвесная SanStar Адель 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",172.1-1.4.1.ККОМ,1,1,16.03.2026,20.03.2026,,07.04.2026,Предоплата,22%,27166,9084,0,0,18082,27166,9084,18082,,,,,,,,,,,,,,,,,,
55228790657,55228790657,Продажа физлицу,"Тумба напольная SanStar Адель 80 с раковиной Фест 80 (комплект) для ванной комнаты, белая",170.1-1.4.1.КФЕС,1,1,19.03.2026,21.03.2026,,22.04.2026,При получении,22%,32570,15487,0,0,17083,32570,15487,17083,,,,,,,,,,,,,,,,,,
55257411904,55257411904,Продажа физлицу,"Тумба напольная SanStar Diva 100 Без раковины для ванной комнаты белый, Дуб вотан",491.1-1.4.1.Р,1,1,20.03.2026,24.03.2026,,01.04.2026,Яндекс.Сплит (предоплата),22%,20023,9482,0,0,10541,20023,9482,10541,,,,,,,,,,,,,,,,,,
55272145346,55272145346,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 60 для ванной комнаты Дуб вотан,444.1-2.4.1.,1,1,21.03.2026,22.03.2026,,01.04.2026,При получении,22%,9200,4763,0,0,4437,9200,4763,4437,,,,,,,,,,,,,,,,,,
55282620737,55282620737,Продажа физлицу,"Тумба подвесная SanStar Ориана 70 с раковиной Миранда 70 (комплект) для ванной комнаты, белая",286.1-1.4.1.К,1,1,21.03.2026,26.03.2026,,07.04.2026,Предоплата,22%,28099,13091,0,0,15008,28099,13091,15008,,,,,,,,,,,,,,,,,,
55283204097,55283204097,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Адель 70 для ванной комнаты, белый",175.1-2.4.1.,1,1,21.03.2026,22.03.2026,,07.04.2026,Предоплата,22%,11526,5926,0,0,5600,11526,5926,5600,,,,,,,,,,,,,,,,,,
55334204866,55334204866,Продажа физлицу,"Тумба напольная SanStar Diva 60 с раковиной Фостер 60 (комплект) для ванной комнаты, Gold Craft",529.1-1.4.1.КФОС,1,1,23.03.2026,24.03.2026,,01.04.2026,Яндекс.Сплит (предоплата),22%,26394,9965,0,0,16429,26394,9965,16429,,,,,,,,,,,,,,,,,,
55353578690,55353578690,Продажа физлицу,"Тумба подвесная SanStar Адель 60 с раковиной Фест 60 (комплект) для ванной комнаты, белая",171.1-1.4.1.КФЕС,1,1,23.03.2026,30.03.2026,,13.04.2026,Яндекс.Сплит (предоплата),22%,22071,10608,0,0,11463,22071,10608,11463,,,,,,,,,,,,,,,,,,
55359529921,55359529921,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 100 для ванной комнаты Дуб вотан,447.1-2.4.1.ДИВ,1,1,24.03.2026,25.03.2026,,07.04.2026,При получении,22%,10851,4407,0,0,6444,10851,4407,6444,,,,,,,,,,,,,,,,,,
55378922816,55378922816,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 80 для ванной комнаты, Дуб вотан",446.1-2.4.1.МОД,1,1,24.03.2026,25.03.2026,,19.04.2026,При получении,22%,10723,5239,0,0,5484,10723,5239,5484,,,,,,,,,,,,,,,,,,
55383366275,55383366275,Продажа физлицу,Зеркальный шкаф подвесной SanStar Линни 60 для ванной комнаты белый,273.1-2.4.1.КАС,1,1,24.03.2026,26.03.2026,,13.04.2026,При получении,22%,8675,4238,0,0,4437,8675,4238,4437,,,,,,,,,,,,,,,,,,
55392361792,55392361792,Продажа физлицу,"Тумба подвесная SanStar Diva 50 с раковиной Фест 50 (комплект) для ванной комнатыбелый, дуб вотан",492.1-1.4.1.РКФЕС,1,1,25.03.2026,26.03.2026,,07.04.2026,Предоплата,22%,18049,10122,0,0,7927,18049,10122,7927,,,,,,,,,,,,,,,,,,
55392361792,55392361792,Продажа физлицу,"Тумба подвесная SanStar Diva 50 с раковиной Фостер 50 (комплект) для ванной комнатыбелый, дуб вотан",492.1-1.4.1.РКФОС,1,1,25.03.2026,26.03.2026,,07.04.2026,Предоплата,22%,18499,10209,0,0,8290,18499,10209,8290,,,,,,,,,,,,,,,,,,
55394073345,55394073345,Продажа физлицу,"Тумба подвесная SanStar Адель 70 с раковиной Фостер 70 (комплект) для ванной комнаты, белая",172.1-1.4.1.К,1,1,25.03.2026,26.03.2026,,13.04.2026,Предоплата,22%,26604,10669,0,0,15935,26604,10669,15935,,,,,,,,,,,,,,,,,,
55399971715,55399971715,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 80 для ванной комнаты, Дуб вотан",446.1-2.4.1.МОД,1,1,25.03.2026,03.04.2026,,07.04.2026,Предоплата,22%,10371,3858,0,34,6479,10371,3892,6479,,,,,,,,,,,,,,,,,,
55399971715,55399971715,Продажа физлицу,"Шкаф-пенал напольно/подвесной SanStar Модена для ванной комнаты, дуб вотан, графит софт",476.1-3.4.1.МОД,1,1,25.03.2026,03.04.2026,,07.04.2026,Предоплата,22%,25270,7685,0,92,17493,25270,7777,17493,,,,,,,,,,,,,,,,,,
55414941504,55414941504,Продажа физлицу,"Тумба подвесная SanStar Siva 80 с раковиной Como 80 (комплект) для ванной комнаты, Дуб веллингтон табак",435.1-1.4.1.ККОМ,1,1,25.03.2026,26.03.2026,,13.04.2026,Предоплата,22%,36025,13923,0,0,22102,36025,13923,22102,,,,,,,,,,,,,,,,,,
55416709379,55416709379,Продажа физлицу,Зеркальный шкаф подвесной SanStar Линни 60 для ванной комнаты белый,273.1-2.4.1.КАС,1,1,25.03.2026,27.03.2026,,07.04.2026,Предоплата,22%,8675,4555,0,0,4120,8675,4555,4120,,,,,,,,,,,,,,,,,,
55416709379,55416709379,Продажа физлицу,"Тумба напольная SanStar Линни 50 с раковиной Клермонт 50 (комплект) для ванной комнаты, белая",413.1-1.4.1.ККЛЕ,1,1,25.03.2026,27.03.2026,,07.04.2026,Предоплата,22%,18624,9781,0,0,8843,18624,9781,8843,,,,,,,,,,,,,,,,,,
55447327426,55447327426,Продажа физлицу,"Тумба напольная SanStar Каскад 40 с раковиной Азов 40 для ванной комнаты, белая",513.1-1.4.1.РКАЗО,1,1,26.03.2026,27.03.2026,,07.04.2026,При получении,22%,11763,6779,0,0,4984,11763,6779,4984,,,,,,,,,,,,,,,,,,
55451513280,55451513280,Продажа физлицу,"Тумба подвесная SanStar Линни 50 с раковиной Клермонт 50 (комплект) для ванной комнаты, белая",403.1-1.4.1.ККЛЕ,1,1,26.03.2026,01.04.2026,,13.04.2026,Предоплата,22%,16874,8993,0,0,7881,16874,8993,7881,,,,,,,,,,,,,,,,,,
55451513280,55451513280,Продажа физлицу,"Тумба подвесная SanStar Линни 60 с раковиной Клермонт 60 (комплект) для ванной комнаты, белая",402.1-1.4.1.ККЛЕ,1,1,26.03.2026,01.04.2026,,13.04.2026,Предоплата,22%,18653,10314,0,0,8339,18653,10314,8339,,,,,,,,,,,,,,,,,,
55486398337,55486398337,Продажа физлицу,"Тумба напольная SanStar Каскад 40 с раковиной Азов 40 для ванной комнаты, белая",513.1-1.4.1.РКАЗО,1,1,27.03.2026,29.03.2026,,09.04.2026,При получении,22%,11805,6941,0,0,4864,11805,6941,4864,,,,,,,,,,,,,,,,,,
55494924418,55494924418,Продажа физлицу,"Зеркало универсальное SanStar Varna 60 для ванной комнаты, сенсорное",318.1-2.4.1.,1,1,28.03.2026,29.03.2026,,07.04.2026,При получении,22%,12171,4447,0,0,7724,12171,4447,7724,,,,,,,,,,,,,,,,,,
55498745665,55498745665,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 100 для ванной комнаты Дуб вотан,447.1-2.4.1.ДИВ,1,1,28.03.2026,29.03.2026,,13.04.2026,При получении,22%,10862,5685,0,0,5177,10862,5685,5177,,,,,,,,,,,,,,,,,,
55502897856,55502897856,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 50 для ванной комнаты, Дуб вотан",443.1-2.4.1.МОД,1,1,28.03.2026,29.03.2026,,22.04.2026,При получении,22%,8529,4731,0,0,3798,8529,4731,3798,,,,,,,,,,,,,,,,,,
55508459264,55508459264,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 50 для ванной комнаты Дуб вотан,443.1-2.4.1.,1,1,28.03.2026,29.03.2026,,07.04.2026,Предоплата,22%,8529,1706,0,0,6823,8529,1706,6823,,,,,,,,,,,,,,,,,,
55508459264,55508459264,Продажа физлицу,Шкаф напольный SanStar Lavanti для стиральной машины для ванной комнаты Дуб вотан,448.1-3.4.1.,1,1,28.03.2026,29.03.2026,,07.04.2026,Предоплата,22%,22620,9336,0,0,13284,22620,9336,13284,,,,,,,,,,,,,,,,,,
55513362627,55513362627,Продажа физлицу,"Тумба напольная SanStar Квадро 50 с раковиной Фест 50 (комплект) для ванной комнаты, белая",203.1-1.4.1.КФЕС,1,1,28.03.2026,31.03.2026,,09.04.2026,Предоплата,22%,20242,10410,0,0,9832,20242,10410,9832,,,,,,,,,,,,,,,,,,
55519983554,55519983554,Продажа физлицу,"Тумба подвесная SanStar Diva 60 без раковины для ванной комнаты белый, дуб вотан",493.1-1.4.1.Р,1,1,29.03.2026,30.03.2026,,07.04.2026,При получении,22%,10195,3082,0,0,7113,10195,3082,7113,,,,,,,,,,,,,,,,,,
55526946818,55526946818,Продажа физлицу,"Тумба подвесная SanStar Diva 60 без раковины для ванной комнаты белый, дуб вотан",493.1-1.4.1.Р,1,1,29.03.2026,30.03.2026,01.04.2026,07.04.2026,При получении,22%,10145,3387,0,0,6758,10145,3387,6758,,,,,,,,,,,,,,,,,,
55528052162,55528052162,Продажа физлицу,"Тумба напольная SanStar Каскад 40 Без раковины для ванной комнаты, белая",513.1-1.4.1.Р,1,1,29.03.2026,30.03.2026,,01.04.2026,При получении,22%,8037,4536,0,0,3501,8037,4536,3501,,,,,,,,,,,,,,,,,,
55533905922,55533905922,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 60 для ванной комнаты Дуб вотан,444.1-2.4.1.,1,1,29.03.2026,30.03.2026,,07.04.2026,При получении,22%,9197,4486,0,0,4711,9197,4486,4711,,,,,,,,,,,,,,,,,,
55535836290,55535836290,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Универсальный 90 для ванной комнаты, белый",40.1-2.4.1.,1,1,29.03.2026,30.03.2026,,07.04.2026,Яндекс.Сплит (предоплата),22%,14245,7032,0,0,7213,14245,7032,7213,,,,,,,,,,,,,,,,,,
55548899520,55548899520,Продажа физлицу,"Тумба напольная SanStar Модена 70 Без раковины для ванной комнаты, графит софт",480.1-1.4.1.Р,1,1,29.03.2026,31.03.2026,,09.04.2026,Предоплата,22%,17350,8473,0,0,8877,17350,8473,8877,,,,,,,,,,,,,,,,,,
55560924929,55560924929,Продажа физлицу,"Тумба напольная SanStar Каскад 40 с раковиной Азов 40 для ванной комнаты, белая",513.1-1.4.1.РКАЗО,1,1,30.03.2026,31.03.2026,,13.04.2026,При получении,22%,11763,6932,0,0,4831,11763,6932,4831,,,,,,,,,,,,,,,,,,
55561561088,55561561088,Продажа физлицу,"Шкаф-пенал универсальный SanStar Адель для ванной комнаты, белый",177.1-3.4.1.,1,1,30.03.2026,31.03.2026,,09.04.2026,Предоплата,22%,15979,8189,0,0,7790,15979,8189,7790,,,,,,,,,,,,,,,,,,
55561561088,55561561088,Продажа физлицу,"Тумба подвесная SanStar Адель 70 с раковиной Фостер 70 (комплект) для ванной комнаты, белая",172.1-1.4.1.К,1,1,30.03.2026,31.03.2026,,09.04.2026,Предоплата,22%,26725,14585,0,0,12140,26725,14585,12140,,,,,,,,,,,,,,,,,,
55567422467,55567422467,Продажа физлицу,Тумба подвесная SanStar Lavanti 80 с раковиной Миранда 80 (комплект) для ванной комнаты Дуб вотан,441.1-1.4.1.КМИР,1,1,30.03.2026,04.04.2026,,07.04.2026,Предоплата,22%,30483,9346,0,0,21137,30483,9346,21137,,,,,,,,,,,,,,,,,,
55568292546,55568292546,Продажа физлицу,"Тумба подвесная SanStar Адель 50 с раковиной Фест 50 (комплект) для ванной комнаты, белая",209.1-1.4.1.КФЕС,1,1,30.03.2026,04.04.2026,,07.04.2026,Предоплата,22%,20104,8352,0,0,11752,20104,8352,11752,,,,,,,,,,,,,,,,,,
55570519425,55570519425,Продажа физлицу,"Тумба подвесная SanStar Адель 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",172.1-1.4.1.ККОМ,1,1,30.03.2026,31.03.2026,,13.04.2026,Предоплата,22%,27167,9522,0,0,17645,27167,9522,17645,,,,,,,,,,,,,,,,,,
55582545921,55582545921,Продажа физлицу,"Тумба напольная SanStar Каскад 40 Без раковины для ванной комнаты, белая",513.1-1.4.1.Р,1,1,30.03.2026,03.04.2026,,07.04.2026,При получении,22%,8063,3440,0,0,4623,8063,3440,4623,,,,,,,,,,,,,,,,,,
55608504128,55608504128,Продажа физлицу,"Тумба подвесная SanStar Graffa 60 с раковиной Фостер 60 (комплект) для ванной комнаты Дуб вотан, графит софт",451.1-1.4.1.КФОС,1,1,31.03.2026,07.04.2026,,19.04.2026,Предоплата,22%,21056,8981,0,0,12075,21056,8981,12075,,,,,,,,,,,,,,,,,,
55608504128,55608504128,Продажа физлицу,"Шкаф-пенал подвесной SanStar Инфинити для ванной комнаты, разобранный",398.1-3.4.1.,1,1,31.03.2026,07.04.2026,,19.04.2026,Предоплата,22%,13428,5699,0,0,7729,13428,5699,7729,,,,,,,,,,,,,,,,,,
55613649281,55613649281,Продажа физлицу,"Тумба напольная SanStar Квадро 45 с раковиной Фостер 45 (комплект) для ванной комнаты, белая",123.1-1.4.1.К,1,1,31.03.2026,02.04.2026,,07.04.2026,Предоплата,22%,15240,7300,0,38,7902,15240,7338,7902,,,,,,,,,,,,,,,,,,
55613649281,55613649281,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Como 80 (комплект) для ванной комнаты, белая",225.1-1.4.1.ККОМ,1,1,31.03.2026,02.04.2026,,07.04.2026,Предоплата,22%,26964,11618,0,72,15274,26964,11690,15274,,,,,,,,,,,,,,,,,,
55615969216,55615969216,Продажа физлицу,"Тумба подвесная SanStar Riana 60 с раковиной Миранда 60 (комплект) для ванной комнаты, белая",2881151КМИР,1,1,01.04.2026,02.04.2026,,07.04.2026,Предоплата,22%,31228,13051,0,0,18177,31228,13051,18177,,,,,,,,,,,,,,,,,,
55617557059,55617557059,Продажа физлицу,"Шкаф-пенал зеркальный SanStar Универсальный для ванной комнаты, белый",381.1-3.4.1.,1,1,01.04.2026,05.04.2026,,07.04.2026,Предоплата,22%,17634,7063,0,0,10571,17634,7063,10571,,,,,,,,,,,,,,,,,,
55617796161,55617796161,Продажа физлицу,"Шкаф напольный SanStar Модена для стиральной машины для ванной комнаты Дуб вотан, графит софт",455.1-3.4.1.МОД,1,1,01.04.2026,03.04.2026,,13.04.2026,Предоплата,22%,23719,9739,0,0,13980,23719,9739,13980,,,,,,,,,,,,,,,,,,
55617796161,55617796161,Продажа физлицу,"Шкаф-пенал напольно/подвесной SanStar Модена 50 для ванной комнаты, дуб вотан, графит софт",477.1-3.4.1.МОД,1,1,01.04.2026,03.04.2026,,13.04.2026,Предоплата,22%,26544,9787,0,0,16757,26544,9787,16757,,,,,,,,,,,,,,,,,,
55623548547,55623548547,Продажа физлицу,"Шкаф-пенал подвесной SanStar Инфинити для ванной комнаты, разобранный",398.1-3.4.1.,1,1,01.04.2026,02.04.2026,,22.04.2026,Предоплата,22%,11396,5474,0,250,5672,11396,5724,5672,,,,,,,,,,,,,,,,,,
55631038210,55631038210,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 70 для ванной комнаты Дуб вотан,445.1-2.4.1.,1,1,01.04.2026,02.04.2026,,13.04.2026,При получении,22%,8755,4781,0,0,3974,8755,4781,3974,,,,,,,,,,,,,,,,,,
55636777664,55636777664,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 70 для ванной комнаты Дуб вотан,445.1-2.4.1.ДИВ,1,1,01.04.2026,02.04.2026,,07.04.2026,При получении,22%,8755,4349,0,0,4406,8755,4349,4406,,,,,,,,,,,,,,,,,,
55641360770,55641360770,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 50 для ванной комнаты Дуб вотан,443.1-2.4.1.,1,1,01.04.2026,02.04.2026,,19.04.2026,Предоплата,22%,6965,3074,0,0,3891,6965,3074,3891,,,,,,,,,,,,,,,,,,
55641360770,55641360770,Продажа физлицу,Шкаф напольный SanStar Lavanti для стиральной машины для ванной комнаты Дуб вотан,448.1-3.4.1.,1,1,01.04.2026,02.04.2026,,19.04.2026,Предоплата,22%,21530,6601,0,0,14929,21530,6601,14929,,,,,,,,,,,,,,,,,,
55642468288,55642468288,Продажа физлицу,"Шкаф напольно-подвесной SanStar Diva 50 с полками для ванной комнаты белый, дуб вотан",498.1-3.4.1.,1,1,01.04.2026,08.04.2026,,26.04.2026,Предоплата,22%,22436,10386,0,0,12050,22436,10386,12050,,,,,,,,,,,,,,,,,,
55642468288,55642468288,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Como 80 (комплект) для ванной комнаты, белая, дуб вотан",486.1-1.4.1.РККОМ,1,1,01.04.2026,08.04.2026,,26.04.2026,Предоплата,22%,30740,14920,0,0,15820,30740,14920,15820,,,,,,,,,,,,,,,,,,
55646601088,55646601088,Продажа физлицу,Тумба подвесная SanStar Lavanti 60 с раковиной Фест 60 (комплект) для ванной комнаты Дуб вотан,439.1-1.4.1.КФЕС,1,1,01.04.2026,03.04.2026,,13.04.2026,Предоплата,22%,20398,8311,0,0,12087,20398,8311,12087,,,,,,,,,,,,,,,,,,
55650217664,55650217664,Продажа физлицу,"Тумба напольная SanStar Адель 60 с раковиной Фест 60 (комплект) для ванной комнаты, белая",1681141КФЕС,1,1,01.04.2026,03.04.2026,,16.04.2026,Яндекс.Сплит (предоплата),22%,23294,10550,0,0,12744,23294,10550,12744,,,,,,,,,,,,,,,,,,
55651792067,55651792067,Продажа физлицу,"Тумба напольная SanStar Июнь 40 с раковиной Азов 40 (комплект) для ванной комнаты, белая",1491141К,1,1,01.04.2026,03.04.2026,,16.04.2026,Предоплата,22%,11524,5762,0,0,5762,11524,5762,5762,,,,,,,,,,,,,,,,,,
