ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
55545043778,55545043778,Продажа физлицу,"Тумба подвесная SanStar Diva 50 без раковины для ванной комнатыбелый, дуб вотан",492.1-1.4.1.Р,492.1-1.4.1.Р,0,1,29.03.2026,30.03.2026,11.04.2026,05.05.2026,Предоплата,22%,12484,4126,0,0,8358,12484,4126,8358,,,,,,,,,,,,,,,,,,
55606680448,55606680448,Продажа физлицу,"Тумба подвесная SanStar Толедо 50 с раковиной Даллас 110 правый (комплект) для ванной комнаты, белая",482.1-1.4.1.КПДАЛ,482.1-1.4.1.КПДАЛ,0,1,31.03.2026,01.04.2026,04.04.2026,21.05.2026,Предоплата,22%,33686,13103,0,150,20433,33686,13253,20433,,,,,,,,,,,,,,,,,,
55889396609,55889396609,Продажа физлицу,Тумба подвесная SanStar Lavanti 80 с раковиной Moduo 80 (комплект) для ванной комнаты Дуб вотан,441.1-1.4.1.КМОД,441.1-1.4.1.КМОД,0,1,08.04.2026,09.04.2026,14.04.2026,05.05.2026,Предоплата,22%,27682,12355,0,0,15327,27682,12355,15327,,,,,,,,,,,,,,,,,,
56033318337,56033318337,Продажа физлицу,"Тумба подвесная SanStar Diva 80 с раковиной Фест 80 (комплект) для ванной комнаты, Gold Craft",536.1-1.4.1.КФЕС,536.1-1.4.1.КФЕС,0,1,13.04.2026,15.04.2026,26.04.2026,12.05.2026,Предоплата,22%,30045,11556,0,0,18489,30045,11556,18489,,,,,,,,,,,,,,,,,,
56051941185,56051941185,Продажа физлицу,"Зеркальный шкаф подвесной SanStar Модена 80 для ванной комнаты, Дуб вотан",446.1-2.4.1.МОД,446.1-2.4.1.МОД,0,1,13.04.2026,14.04.2026,21.04.2026,05.05.2026,Предоплата,22%,9907,4051,0,0,5856,9907,4051,5856,,,,,,,,,,,,,,,,,,
56090340674,56090340674,Продажа физлицу,"Шкаф-пенал подвесной SanStar Graffa для ванной комнаты Дуб вотан, графит софт",449.1-3.4.1.,449.1-3.4.1.,0,1,14.04.2026,19.04.2026,21.04.2026,21.05.2026,Яндекс.Сплит (предоплата),22%,14532,4681,0,0,9851,14532,4681,9851,,,,,,,,,,,,,,,,,,
56102136385,56102136385,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 80 для ванной комнаты Дуб вотан,446.1-2.4.1.ДИВ,446.1-2.4.1.ДИВ,0,1,15.04.2026,16.04.2026,24.04.2026,21.05.2026,Предоплата,22%,10403,5324,0,0,5079,10403,5324,5079,,,,,,,,,,,,,,,,,,
56105112833,56105112833,Продажа физлицу,"Тумба подвесная SanStar Riana 80 Без раковины для ванной комнаты, грей",504.1-1.4.1.,504.1-1.4.1.,0,1,15.04.2026,16.04.2026,17.04.2026,05.05.2026,Предоплата,22%,26196,9726,0,0,16470,26196,9726,16470,,,,,,,,,,,,,,,,,,
56121670145,56121670145,Продажа физлицу,"Шкаф напольный SanStar Diva для стиральной машины для ванной комнаты белый, дуб вотан",497.1-3.4.1.,497.1-3.4.1.,0,1,15.04.2026,21.04.2026,29.04.2026,12.05.2026,Предоплата,22%,24905,11925,0,0,12980,24905,11925,12980,,,,,,,,,,,,,,,,,,
56140425601,56140425601,Продажа физлицу,"Тумба напольная SanStar Arista 85 с раковиной Элвис 85 (комплект) для ванной комнаты, белая",232.1-1.5.1.КЭЛВ,232.1-1.5.1.КЭЛВ,0,1,16.04.2026,17.04.2026,21.04.2026,12.05.2026,Предоплата,22%,40349,17014,0,17448,5887,40349,34462,5887,,,,,,,,,,,,,,,,,,
